rank,website_id,url,S_scale,S_task_web
1,1921,https://www.prothomalo.com/,1,100
1,2276,https://www.prothomalo.com,1,100
3,2281,https://www.jugantor.com,0.948717949,94.87179487
4,2277,https://www.dhakatimes24.com,0.923076923,92.30769231
5,2269,https://www.thedailystar.net,0.897435897,89.74358974
6,2263,https://www.dailyinqilab.com,0.871794872,87.17948718
7,2268,https://mzamin.com,0.846153846,84.61538462
8,2244,https://www.dailynayadiganta.com,0.820512821,82.05128205
9,2283,https://www.ekushey-tv.com,0.794871795,79.48717949
10,2280,https://m.dainikshiksha.com,0.769230769,76.92307692
11,2279,https://sarabangla.net,0.743589744,74.35897436
12,2261,https://www.sangbadpratidin.in,0.717948718,71.79487179
13,2264,https://www.deshrupantor.com ,0.692307692,69.23076923
14,2252,https://www.bssnews.net,0.666666667,66.66666667
15,1905,http://sukumarray.freehostia.com/,0.641025641,64.1025641
16,2270,https://dmpnews.org,0.615384615,61.53846154
17,2274,https://unb.com.bd,0.58974359,58.97435897
18,2258,https://www.probashirdiganta.com,0.564102564,56.41025641
19,1904,https://www.bangla-kobita.com/,0.538461538,53.84615385
20,2262,http://bartabazar.com,0.512820513,51.28205128
21,1911,https://www.ebanglalibrary.com,0.487179487,48.71794872
22,1901,https://tagoreweb.in/,0.461538462,46.15384615
23,1898,https://www.kishoralo.com/,0.435897436,43.58974359
24,2113,http://www.mofept.gov.pk,0.41025641,41.02564103
25,2265,https://desh.tv,0.384615385,38.46153846
26,1891,https://www.kaliokalam.com/,0.358974359,35.8974359
27,2256,https://www.webbangladesh.com,0.333333333,33.33333333
28,1908,http://www.sachalayatan.com/,0.307692308,30.76923077
29,2266,https://bn.bangladeshinfo.com,0.282051282,28.20512821
30,2579,https://netra.news/,0.256410256,25.64102564
31,1895,https://www.sananda.in/galpo?sectionid=46866&secName=Golpo,0.230769231,23.07692308
32,1894,https://www.desh.co.in/,0.205128205,20.51282051
33,1892,https://www.parabaas.com/,0.179487179,17.94871795
34,1897,https://www.anandamela.in/#/,0.153846154,15.38461538
35,1890,https://www.targetsscbangla.com/modern-bengali-literature,0.128205128,12.82051282
36,1907,https://jyotirjagat.wordpress.com/,0.102564103,10.25641026
37,1903,https://www.nazrulgeeti.org/index.php/home,0.076923077,7.692307692
38,1893,https://abasar.net/,0.051282051,5.128205128
39,1909,https://protipokkho.com/,0.025641026,2.564102564
40,1906,https://lalonsain.wordpress.com/,0,0
